ID,Phase,Track,Tier,Question,Notes,Priority,AIReadinessFlag,SuggestedFollowup
Q041,DISCOVERY,BUSINESS,AI,Do you currently use any AI or machine learning capabilities?,"Existing AI/ML models, third-party AI services, none",HIGH,AI_CRITICAL,"What business problems do they solve?"
Q042,DISCOVERY,TECHNICAL,AI,What data science tools and platforms are in use (if any)?,"Jupyter, TensorFlow, PyTorch, Azure ML, AWS SageMaker",MEDIUM,AI_CRITICAL,"How many data scientists or ML engineers do you have?"
Q043,DISCOVERY,BUSINESS,AI,What are the top 3 use cases you envision for AI in your organization?,"Automation, prediction, personalization, decision support",HIGH,AI_CRITICAL,"Have you validated these use cases with stakeholders?"
Q044,DISCOVERY,TECHNICAL,AI,What is the current state of your data for AI readiness?,"Labeled data, data quality, volume, accessibility",HIGH,AI_BLOCKER,"Do you have historical data for training models?"
Q045,DISCOVERY,BUSINESS,AI,Do you have executive sponsorship and budget for AI initiatives?,"Leadership buy-in, dedicated AI budget, ROI expectations",HIGH,AI_CRITICAL,"Who is the executive sponsor for AI/ML?"
Q046,DISCOVERY,TECHNICAL,AI,What ethical AI and bias mitigation practices are in place?,"Fairness testing, explainability, bias detection, none",MEDIUM,AI_RELEVANT,"Have you conducted bias audits on existing models?"
Q047,DISCOVERY,BUSINESS,AI,What regulatory or compliance concerns exist around AI usage?,"GDPR, CCPA, industry-specific AI regulations",HIGH,AI_BLOCKER,"Do you have legal approval for AI deployment?"
Q048,DISCOVERY,TECHNICAL,AI,How do you plan to deploy and monitor AI models in production (MLOps)?,"Model versioning, A/B testing, monitoring, retraining",MEDIUM,AI_RELEVANT,"Do you have an MLOps platform or process?"
Q049,DISCOVERY,BUSINESS,AI,What risks or concerns does your organization have about adopting AI?,"Job displacement, accuracy, bias, cost, complexity",HIGH,AI_CRITICAL,"Have you assessed organizational readiness for AI?"
Q050,DISCOVERY,TECHNICAL,AI,What external AI services or APIs are you currently using?,"OpenAI, Azure Cognitive Services, AWS AI services, Google AI",MEDIUM,AI_RELEVANT,"What data are you sharing with third-party AI providers?"
